,Unnamed: 0,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
903,903,50000.0,2.0,256.0,3.0,cuda,numba,0.0,0.00980186462402,0.0083019733429,0.000930070877075,0.000320127993822,1.0,0.0,0.000320127993822,0.000320127993822,0.00057260799408,3.0,2.65134968537e-06,0.000193920001388,0.000187455996871,0.000211488001049,3.0,2.41014969731e-06,7.26720020175e-05,6.71359971166e-05,0.000307424001396,3.0,1.31309825369e-05,0.000120287999511,8.90239998698e-05,0.00613120007515,3.0,1.61746368729e-05,0.00205558395386,0.00202086400986
904,904,50000.0,2.0,256.0,3.0,cuda,numba,1.0,0.0104231834412,0.00855493545532,0.00106382369995,0.000281792014837,1.0,0.0,0.000281792014837,0.000281792014837,0.000569343999028,3.0,8.90789868056e-06,0.000196160003543,0.000177184000611,0.000200671996921,3.0,4.02372202015e-06,7.20319971442e-05,6.22080005705e-05,0.000242207996547,3.0,3.18106368671e-06,8.47679972649e-05,7.69919976592e-05,0.00644790387154,3.0,0.000117340144713,0.00231494402885,0.00205782389641
905,905,50000.0,2.0,256.0,3.0,cuda,numba,2.0,0.0101668834686,0.00823998451233,0.0011100769043,0.000280095994473,1.0,0.0,0.000280095994473,0.000280095994473,0.00057628801465,3.0,8.33758161864e-06,0.000200512006879,0.000180736005306,0.000205696001649,3.0,1.53162457555e-06,7.07200020552e-05,6.72959983349e-05,0.00024415999651,3.0,2.87470193763e-06,8.48639979959e-05,7.78239965439e-05,0.00618755221367,3.0,6.42418440945e-06,0.00207123208046,0.0020559360981
906,906,50000.0,2.0,512.0,3.0,numba,numba,0.0,0.212050914764,0.210667133331,0.000604152679443,,,,,,,,,,,,,,,,,,,,,,,,,
907,907,50000.0,2.0,512.0,3.0,numba,numba,1.0,0.240349054337,0.239086151123,0.000601053237915,,,,,,,,,,,,,,,,,,,,,,,,,
908,908,50000.0,2.0,512.0,3.0,numba,numba,2.0,0.209514856339,0.208454847336,0.000595092773438,,,,,,,,,,,,,,,,,,,,,,,,,
909,909,50000.0,2.0,512.0,3.0,cuda,numba,0.0,0.0154809951782,0.0138299465179,0.000980138778687,0.000322207987309,1.0,0.0,0.000322207987309,0.000322207987309,0.000563999995589,3.0,4.03149497334e-06,0.000191584005952,0.000182367995381,0.000210847996175,3.0,2.80827167627e-06,7.41119980812e-05,6.74559995532e-05,0.000299808003008,3.0,1.46255304422e-05,0.000119712002575,8.47999975085e-05,0.0116657280922,3.0,2.23036311398e-05,0.00392006397247,0.00387123203278
910,910,50000.0,2.0,512.0,3.0,cuda,numba,1.0,0.0160157680511,0.0140030384064,0.00109004974365,0.000273344010115,1.0,0.0,0.000273344010115,0.000273344010115,0.000575424000621,3.0,3.84080284253e-06,0.000195552006364,0.000186527997255,0.000206528007984,3.0,3.46569820729e-06,7.36960023642e-05,6.58240020275e-05,0.000240319997072,3.0,1.05043400524e-06,8.09279978275e-05,7.86240026355e-05,0.0118828799725,3.0,0.00012235287948,0.00413375997543,0.00386678409576
911,911,50000.0,2.0,512.0,3.0,cuda,numba,2.0,0.0151178836823,0.0136728286743,0.000672817230225,0.000277408003807,1.0,0.0,0.000277408003807,0.000277408003807,0.000573535993695,3.0,6.7421307549e-06,0.000198400005698,0.000182175993919,0.00019657599926,3.0,2.3941380325e-06,6.85440003872e-05,6.26880005002e-05,0.000246752001345,3.0,3.04973305844e-06,8.61120000482e-05,7.86560028791e-05,0.0116019201279,3.0,8.14996858308e-06,0.00387574410439,0.00385628795624
912,912,50000.0,2.0,1024.0,3.0,numba,numba,0.0,0.409996032715,0.408470869064,0.000574111938477,,,,,,,,,,,,,,,,,,,,,,,,,
913,913,50000.0,2.0,1024.0,3.0,numba,numba,1.0,0.408877849579,0.407593011856,0.00061559677124,,,,,,,,,,,,,,,,,,,,,,,,,
914,914,50000.0,2.0,1024.0,3.0,numba,numba,2.0,0.409763097763,0.408504247665,0.000592947006226,,,,,,,,,,,,,,,,,,,,,,,,,
915,915,50000.0,2.0,1024.0,3.0,cuda,numba,0.0,0.0262789726257,0.024719953537,0.000793695449829,0.000309504002333,1.0,0.0,0.000309504002333,0.000309504002333,0.00056409598887,3.0,2.10341773052e-06,0.000190623998642,0.000185471996665,0.000208799995482,3.0,2.5055559964e-06,7.17120021582e-05,6.60799965262e-05,0.000300576001406,3.0,1.35675719751e-05,0.000117440000176,8.42880010605e-05,0.0225643200874,3.0,9.34918613157e-06,0.00753462409973,0.00751398420334
916,916,50000.0,2.0,1024.0,3.0,cuda,numba,1.0,0.0270209312439,0.0248258113861,0.00105786323547,0.000264672011137,1.0,0.0,0.000264672011137,0.000264672011137,0.000569824010134,3.0,1.02512055854e-05,0.000197696000338,0.000175456002355,0.000203551996499,3.0,4.0619689614e-06,7.09439963102e-05,6.21119998395e-05,0.00023932800442,3.0,1.73568723245e-06,8.12800005078e-05,7.73440003395e-05,0.0227429442406,3.0,0.000121588928655,0.00775286388397,0.00749078416824
917,917,50000.0,2.0,1024.0,3.0,cuda,numba,2.0,0.026741027832,0.0245578289032,0.00105690956116,0.000273119986057,1.0,0.0,0.000273119986057,0.000273119986057,0.000564640000463,3.0,1.70003103874e-07,0.000188416004181,0.000187999993563,0.000201568000019,3.0,1.66406840571e-06,6.95040002465e-05,6.56640008092e-05,0.000243712000549,3.0,1.47624416082e-06,8.30399990082e-05,7.94240012765e-05,0.0225403199196,3.0,5.24424423155e-06,0.00751836776733,0.00750617599487
918,918,50000.0,2.0,1536.0,3.0,numba,numba,0.0,0.60746884346,0.605729103088,0.000593900680542,,,,,,,,,,,,,,,,,,,,,,,,,
919,919,50000.0,2.0,1536.0,3.0,numba,numba,1.0,0.606945991516,0.60551571846,0.000585079193115,,,,,,,,,,,,,,,,,,,,,,,,,
920,920,50000.0,2.0,1536.0,3.0,numba,numba,2.0,0.607437133789,0.605996131897,0.000586271286011,,,,,,,,,,,,,,,,,,,,,,,,,
921,921,50000.0,2.0,1536.0,3.0,cuda,numba,0.0,0.0376951694489,0.0356030464172,0.00102114677429,0.000307776004076,1.0,0.0,0.000307776004076,0.000307776004076,0.000564063996077,3.0,2.95249442288e-06,0.000191648006439,0.000184415996075,0.000203200004995,3.0,1.7141843525e-06,6.97600021958e-05,6.55680000782e-05,0.000307296000421,3.0,1.68881399509e-05,0.000125376001,8.52160006762e-05,0.0334659519196,3.0,5.31805951377e-06,0.0111617603302,0.0111487360001
