,n_samples,rule,kmin,kmax,t_ensemble,biggest_cluster,type_mat,t_build,n_assocs,max_assoc,t_sl,accuracy,round
56,5000,"sk=300,th=30%",17,22,0.6010279655456543,1696,False,0.6988871097564697,7013386,"(1695, 3)",,,1
57,5000,"sk=300,th=30%",17,22,0.6025280952453613,876,False,0.6799311637878418,4165644,"(875, 3)",,,2
58,5000,"sk=300,th=30%",17,22,0.6016261577606201,1624,False,0.6835339069366455,5483450,"(1623, 0)",,,3
59,5000,"sk=300,th=30%",17,22,0.600938081741333,1696,False,0.6765439510345459,5602284,"(1695, 3)",,,4
60,10000,sqrt,50,100,1.938122034072876,1020,False,1.1408860683441162,9729866,"(1638, 169)",,,0
61,10000,sqrt,50,100,1.9035100936889648,708,False,1.1638109683990479,9567728,"(1646, 6543)",,,1
62,10000,sqrt,50,100,1.9131989479064941,867,False,1.1562728881835938,9409394,"(1618, 4870)",,,2
63,10000,sqrt,50,100,1.9419801235198975,928,False,1.1385819911956787,9592558,"(1640, 2908)",,,3
64,10000,sqrt,50,100,1.952566146850586,659,False,1.134876012802124,9025370,"(1677, 2423)",,,4
65,10000,2sqrt,100,200,3.2542929649353027,441,False,0.67917799949646,4835826,"(863, 3699)",,,0
66,10000,2sqrt,100,200,3.2841389179229736,369,False,0.6939888000488281,4968716,"(869, 3208)",,,1
67,10000,2sqrt,100,200,3.2892768383026123,324,False,0.6716799736022949,4691338,"(800, 9063)",,,2
68,10000,2sqrt,100,200,3.2250871658325195,320,False,0.6859688758850098,4817344,"(817, 6757)",,,3
69,10000,2sqrt,100,200,3.3683159351348877,334,False,0.6660377979278564,4744704,"(776, 2358)",,,4
70,10000,"sk=sqrt/2,th=30%",200,260,4.717036008834839,186,False,0.4655909538269043,2764286,"(441, 4824)",,,0
71,10000,"sk=sqrt/2,th=30%",200,260,4.729226112365723,203,False,0.45473599433898926,2756914,"(447, 1691)",,,1
72,10000,"sk=sqrt/2,th=30%",200,260,4.714998006820679,200,False,0.4566960334777832,2781748,"(438, 5259)",,,2
73,10000,"sk=sqrt/2,th=30%",200,260,4.7099080085754395,173,False,0.4555220603942871,2717608,"(411, 3146)",,,3
74,10000,"sk=sqrt/2,th=30%",200,260,4.765244007110596,163,False,0.4576539993286133,2676814,"(423, 6030)",,,4
75,10000,"sk=300,th=30%",34,44,1.2782480716705322,1709,False,1.748967170715332,16051726,"(1708, 7)",,,0
76,10000,"sk=300,th=30%",34,44,1.2746150493621826,1677,False,1.7477290630340576,15366504,"(1708, 90)",,,1
77,10000,"sk=300,th=30%",34,44,1.2701730728149414,1694,False,1.7759690284729004,15902222,"(1708, 173)",,,2
78,10000,"sk=300,th=30%",34,44,1.2786738872528076,1704,False,1.740713119506836,15096054,"(1708, 485)",,,3
79,10000,"sk=300,th=30%",34,44,1.2745740413665771,1694,False,1.7729010581970215,16076566,"(1708, 173)",,,4
80,25000,sqrt,80,159,5.263657093048096,1267,False,5.455203056335449,38496672,"(2653, 5734)",,,0
81,25000,sqrt,80,159,5.636300086975098,978,False,5.041409015655518,33259962,"(2208, 8881)",,,1
82,25000,sqrt,80,159,5.465467929840088,1905,False,5.293843030929565,39171424,"(2991, 3731)",,,2
83,25000,sqrt,80,159,5.4160239696502686,1333,False,5.306079864501953,36642766,"(2512, 2372)",,,3
84,25000,sqrt,80,159,5.289021968841553,1363,False,5.445845127105713,38628882,"(2978, 13592)",,,4
85,25000,2sqrt,160,318,9.983574151992798,602,False,2.9303150177001953,19152898,"(1351, 17271)",,,0
86,25000,2sqrt,160,318,9.79491901397705,509,False,2.9624249935150146,18575422,"(1295, 6266)",,,1
87,25000,2sqrt,160,318,9.804394960403442,548,False,2.9780731201171875,18825958,"(1389, 9936)",,,2
88,25000,2sqrt,160,318,9.998920202255249,447,False,2.9055819511413574,18215020,"(1122, 12849)",,,3
89,25000,2sqrt,160,318,9.981996059417725,467,False,2.9439749717712402,18947206,"(1295, 698)",,,4
90,25000,"sk=sqrt/2,th=30%",317,412,14.694775819778442,258,False,1.9094738960266113,10674406,"(637, 4005)",,,0
91,25000,"sk=sqrt/2,th=30%",317,412,14.552786111831665,240,False,1.9353508949279785,10821410,"(650, 7267)",,,1
92,25000,"sk=sqrt/2,th=30%",317,412,14.62582802772522,249,False,1.9214959144592285,10749056,"(657, 10068)",,,2
93,25000,"sk=sqrt/2,th=30%",317,412,14.65223479270935,247,False,1.9207408428192139,10738418,"(693, 11587)",,,3
94,25000,"sk=sqrt/2,th=30%",317,412,14.619454860687256,236,False,1.9199998378753662,10689192,"(649, 21440)",,,4
95,25000,"sk=300,th=30%",84,109,4.595365047454834,1255,False,6.065582036972046,40810356,"(2728, 19568)",,,0
96,25000,"sk=300,th=30%",84,109,4.569202184677124,1017,False,6.1475560665130615,41632988,"(2706, 1975)",,,1
97,25000,"sk=300,th=30%",84,109,4.5304460525512695,1123,False,6.168428182601929,40865304,"(2833, 18831)",,,2
98,25000,"sk=300,th=30%",84,109,4.534803867340088,1142,False,6.196465015411377,42343472,"(2874, 1463)",,,3
99,25000,"sk=300,th=30%",84,109,4.582317113876343,1145,False,6.116478204727173,40420088,"(2645, 18232)",,,4
100,50000,sqrt,112,224,13.634932041168213,1446,False,15.901963949203491,103881606,"(3362, 37371)",,,0
101,50000,sqrt,112,224,13.614969968795776,1137,False,15.89292597770691,100519896,"(3225, 43115)",,,1
102,50000,sqrt,112,224,13.762935876846313,1648,False,15.645138025283813,100787084,"(3356, 27483)",,,2
103,50000,sqrt,112,224,13.541786909103394,1759,False,16.02917194366455,105993924,"(3799, 7168)",,,3
104,50000,sqrt,112,224,13.399576902389526,1380,False,16.13620400428772,105193212,"(3657, 17027)",,,4
105,50000,2sqrt,224,448,24.78420400619507,637,False,8.671546936035156,52350182,"(1646, 31988)",,,0
106,50000,2sqrt,224,448,25.484371185302734,555,False,8.388586044311523,50532460,"(1565, 9377)",,,1
107,50000,2sqrt,224,448,25.433833837509155,701,False,8.412822008132935,51472876,"(1754, 9659)",,,2
108,50000,2sqrt,224,448,24.519646883010864,631,False,8.75983214378357,52584018,"(1735, 29915)",,,3
109,50000,2sqrt,224,448,25.623120069503784,634,False,8.359510898590088,50358914,"(1525, 28022)",,,4
110,50000,"sk=sqrt/2,th=30%",451,586,37.3863160610199,320,False,5.521891117095947,30186418,"(904, 34054)",,,0
111,50000,"sk=sqrt/2,th=30%",451,586,37.53778791427612,380,False,5.503895998001099,30633858,"(922, 26428)",,,1
112,50000,"sk=sqrt/2,th=30%",451,586,37.45549988746643,355,False,5.4882330894470215,30202298,"(910, 1362)",,,2
113,50000,"sk=sqrt/2,th=30%",451,586,37.25486707687378,365,False,5.517845869064331,30166702,"(936, 15789)",,,3
