,n_samples,rule,kmin,kmax,t_ensemble,type_mat,t_build,n_assocs,max_assoc,t_sl,accuracy,round
97,25000,"sk=300,th=30%",84,109,4.6155009269714355,False,5.951601028442383,39720572,"(2525, 1561)",,,2
98,25000,"sk=300,th=30%",84,109,4.527121067047119,False,6.097119092941284,42232036,"(2899, 17709)",,,3
99,25000,"sk=300,th=30%",84,109,4.578091859817505,False,6.026857852935791,41048856,"(2944, 4720)",,,4
100,50000,sqrt,112,224,13.560528039932251,False,15.61897611618042,101455120,"(3330, 498)",,,0
101,50000,sqrt,112,224,13.535343885421753,False,15.598520994186401,100806626,"(3212, 37091)",,,1
102,50000,sqrt,112,224,13.913425922393799,False,15.286014080047607,104724726,"(3746, 36863)",,,2
103,50000,sqrt,112,224,12.640023946762085,False,16.805342197418213,115614732,"(3925, 13585)",,,3
104,50000,sqrt,112,224,13.09805703163147,False,16.138922929763794,106341282,"(3437, 10161)",,,4
105,50000,2sqrt,224,448,24.338352918624878,False,8.725076913833618,53779180,"(1810, 44153)",,,0
106,50000,2sqrt,224,448,25.01033091545105,False,8.420577049255371,51398206,"(1573, 12262)",,,1
107,50000,2sqrt,224,448,25.259441137313843,False,8.310590982437134,50247584,"(1522, 46649)",,,2
108,50000,2sqrt,224,448,24.43574619293213,False,8.604174852371216,51957392,"(1619, 15011)",,,3
109,50000,2sqrt,224,448,24.7948899269104,False,8.505163192749023,52107970,"(1704, 25698)",,,4
110,50000,"sk=sqrt/2,th=30%",451,586,37.4997181892395,False,5.394753932952881,29824970,"(877, 42751)",,,0
111,50000,"sk=sqrt/2,th=30%",451,586,37.13020586967468,False,5.465057849884033,30464738,"(899, 36039)",,,1
112,50000,"sk=sqrt/2,th=30%",451,586,37.255188941955566,False,5.442554950714111,30354700,"(983, 44954)",,,2
113,50000,"sk=sqrt/2,th=30%",451,586,37.33702898025513,False,5.4293739795684814,30309934,"(949, 21214)",,,3
114,50000,"sk=sqrt/2,th=30%",451,586,37.07413411140442,False,5.460064888000488,30191692,"(880, 7677)",,,4
115,50000,"sk=300,th=30%",167,217,14.786271095275879,False,14.001128911972046,84532758,"(2713, 43562)",,,0
116,50000,"sk=300,th=30%",167,217,14.848830223083496,False,13.952929973602295,84065438,"(2822, 38371)",,,1
117,50000,"sk=300,th=30%",167,217,15.042702198028564,False,13.783133029937744,83152200,"(2657, 6579)",,,2
118,50000,"sk=300,th=30%",167,217,15.023278951644897,False,13.77738094329834,82680110,"(2693, 9217)",,,3
119,50000,"sk=300,th=30%",167,217,15.086961030960083,False,13.732091188430786,82795976,"(2598, 27017)",,,4
120,100000,sqrt,159,317,34.61696696281433,False,47.710521936416626,297423510,"(4853, 47641)",,,0
121,100000,sqrt,159,317,33.834245920181274,False,48.63158893585205,298418714,"(4678, 28889)",,,1
122,100000,sqrt,159,317,34.834754943847656,False,47.53057813644409,301178008,"(5223, 78033)",,,2
123,100000,sqrt,159,317,34.64315605163574,False,47.51176905632019,298209058,"(4941, 42335)",,,3
124,100000,sqrt,159,317,35.61571192741394,False,46.26685905456543,292533700,"(4994, 76729)",,,4
125,100000,2sqrt,318,634,65.56697511672974,False,24.73834800720215,143270956,"(2306, 78070)",,,0
126,100000,2sqrt,318,634,69.00481104850769,False,23.400517225265503,134838800,"(2106, 29657)",,,1
127,100000,2sqrt,318,634,64.59839200973511,False,25.33955407142639,149271026,"(2332, 31813)",,,2
128,100000,2sqrt,318,634,64.69915199279785,False,25.269848108291626,147935160,"(2264, 72710)",,,3
129,100000,2sqrt,318,634,65.1164140701294,False,25.282668113708496,150618812,"(2371, 5339)",,,4
130,100000,"sk=sqrt/2,th=30%",633,823,98.23511409759521,False,16.05796504020691,85820696,"(1297, 27937)",,,0
131,100000,"sk=sqrt/2,th=30%",633,823,96.94889903068542,False,16.278226852416992,87343366,"(1321, 94081)",,,1
132,100000,"sk=sqrt/2,th=30%",633,823,99.15947890281677,False,15.901004076004028,85022130,"(1238, 18363)",,,2
133,100000,"sk=sqrt/2,th=30%",633,823,97.64198398590088,False,16.136745929718018,86315922,"(1299, 91211)",,,3
134,100000,"sk=sqrt/2,th=30%",633,823,98.16328883171082,False,16.060837030410767,85959474,"(1387, 81394)",,,4
135,100000,"sk=300,th=30%",334,434,53.214120864868164,False,29.94471311569214,165767000,"(2537, 5326)",,,0
136,100000,"sk=300,th=30%",334,434,53.997400999069214,False,29.519393920898438,165169970,"(2482, 22231)",,,1
137,100000,"sk=300,th=30%",334,434,53.494035959243774,False,29.7130069732666,164795374,"(2387, 86956)",,,2
138,100000,"sk=300,th=30%",334,434,53.79302382469177,False,29.53952193260193,163184100,"(2380, 61721)",,,3
139,100000,"sk=300,th=30%",334,434,53.74821901321411,False,29.610944032669067,163278464,"(2513, 16475)",,,4
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,,,,,,,,,,,,
173,,,,,,,,,,,,
174,,,,,,,,,,,,
175,,,,,,,,,,,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
