running recursive scan test
sum_ref =  445698416
sum_gpu =  [445698416]
CPU took:     1.43504142761  ms
Kernel took:  2.29692459106  ms
True
         887060 function calls (836406 primitive calls) in 1.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:179(_void)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        3    0.000    0.000    0.000    0.000 __init__.py:183(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:183(_empty)
        1    0.000    0.000    0.000    0.000 __init__.py:187(_ParameterKind)
        5    0.000    0.000    0.000    0.000 __init__.py:188(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.002    0.002 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:207(Parameter)
        2    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
       15    0.000    0.000    0.000    0.000 __init__.py:237(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        2    0.000    0.000    0.000    0.000 __init__.py:257(load)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        6    0.000    0.000    0.000    0.000 __init__.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       15    0.000    0.000    0.000    0.000 __init__.py:266(name)
        1    0.000    0.000    0.000    0.000 __init__.py:278(kind)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        2    0.000    0.000    0.000    0.000 __init__.py:293(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        4    0.003    0.001    0.285    0.071 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:347(BoundArguments)
        4    0.000    0.000    0.004    0.001 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:353(Formatter)
        4    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:359(__getattr__)
      141    0.000    0.000    0.002    0.000 __init__.py:375(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:375(__getitem__)
        1    0.002    0.002    0.005    0.005 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:38(_RouteClassAttributeToGetattr)
      141    0.001    0.000    0.001    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
       45    0.000    0.000    0.000    0.000 __init__.py:390(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:397(__init__)
        3    0.002    0.001    0.005    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:444(Signature)
        2    0.001    0.001    0.017    0.008 __init__.py:45(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:463(_get_mixins_)
        2    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:474(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
      412    0.000    0.000    0.000    0.000 __init__.py:50(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:501(BufferingFormatter)
       59    0.001    0.000    0.001    0.000 __init__.py:501(cast)
       20    0.000    0.000    0.000    0.000 __init__.py:506(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:51(_sentry_llvm_version)
        4    0.000    0.000    0.000    0.000 __init__.py:510(_find_new_)
        5    0.000    0.000    0.001    0.000 __init__.py:512(from_function)
        6    0.000    0.000    0.000    0.000 __init__.py:52(create_string_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:543(Filter)
        5    0.000    0.000    0.001    0.000 __init__.py:55(signature)
        1    0.000    0.000    0.000    0.000 __init__.py:580(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:585(__init__)
       11    0.000    0.000    0.001    0.000 __init__.py:585(parameters)
        1    0.000    0.000    0.000    0.000 __init__.py:6(<module>)
       43    0.000    0.000    0.000    0.000 __init__.py:62(_is_descriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:68(<module>)
        2    0.001    0.000    0.015    0.008 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:70(<module>)
       64    0.000    0.000    0.000    0.000 __init__.py:70(_is_dunder)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
      412    0.000    0.000    0.000    0.000 __init__.py:761(value)
        1    0.000    0.000    0.000    0.000 __init__.py:773(IntEnum)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
