,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
94,500,"sk=300,th=30%",2,3,0.2698638439178467,0.2698638439178467,0.004669189453125,0.0031280517578125,,0.1878371238708496,0.038292884826660156,0.0032320022583007812,,339,sparse condensed const,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,4,False
95,500,"sk=300,th=30%",2,3,0.2691638469696045,0.2691638469696045,0.004617929458618164,0.003165006637573242,,0.18818092346191406,0.038244009017944336,0.0032160282135009766,,339,sparse condensed linear,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,0,False
96,500,"sk=300,th=30%",2,3,0.26908302307128906,0.26908302307128906,0.00462794303894043,0.003120899200439453,,0.1876230239868164,0.03835797309875488,0.0031991004943847656,,339,sparse condensed linear,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,1,False
97,500,"sk=300,th=30%",2,3,0.2690999507904053,0.2690999507904053,0.004621982574462891,0.0031919479370117188,,0.18951988220214844,0.03832578659057617,0.003197908401489258,,339,sparse condensed linear,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,2,False
98,500,"sk=300,th=30%",2,3,0.26945018768310547,0.26945018768310547,0.004624128341674805,0.0031359195709228516,,0.1875622272491455,0.03835010528564453,0.003255128860473633,,339,sparse condensed linear,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,3,False
99,500,"sk=300,th=30%",2,3,0.2695639133453369,0.2695639133453369,0.004616975784301758,0.003103017807006836,,0.18740391731262207,0.03839588165283203,0.003214120864868164,,339,sparse condensed linear,124264,0,0,499,248.52799999999999,144.00836509036549,0.358,,2,0.358,,2,4,False
100,751,sqrt,14,28,0.0072479248046875,0.0072479248046875,0.009910106658935547,0.004868984222412109,,,,,,239,full,564001,0,751,751,751.0,0.0,0.6844207723035952,,4,,,,0,False
101,751,sqrt,14,28,0.007459878921508789,0.007459878921508789,0.010050058364868164,0.004766941070556641,,,,,,239,full,564001,0,751,751,751.0,0.0,0.6844207723035952,,4,,,,1,False
102,751,sqrt,14,28,0.00745701789855957,0.00745701789855957,0.009871959686279297,0.004768848419189453,,,,,,239,full,564001,0,751,751,751.0,0.0,0.6844207723035952,,4,,,,2,False
103,751,sqrt,14,28,0.0074520111083984375,0.0074520111083984375,0.009914159774780273,0.004775047302246094,,,,,,239,full,564001,0,751,751,751.0,0.0,0.6844207723035952,,4,,,,3,False
104,751,sqrt,14,28,0.007463932037353516,0.007463932037353516,0.010000944137573242,0.004842042922973633,,,,,,239,full,564001,0,751,751,751.0,0.0,0.6844207723035952,,4,,,,4,False
105,751,sqrt,14,28,0.006134986877441406,0.006134986877441406,0.009606122970581055,0.00481414794921875,,,,,,239,full condensed,281625,1,0,750,375.0,216.79483388678798,0.6844207723035952,,4,,,,0,False
106,751,sqrt,14,28,0.006109952926635742,0.006109952926635742,0.00954294204711914,0.004843950271606445,,,,,,239,full condensed,281625,1,0,750,375.0,216.79483388678798,0.6844207723035952,,4,,,,1,False
107,751,sqrt,14,28,0.0061359405517578125,0.0061359405517578125,0.009637117385864258,0.004775047302246094,,,,,,239,full condensed,281625,1,0,750,375.0,216.79483388678798,0.6844207723035952,,4,,,,2,False
108,751,sqrt,14,28,0.0061337947845458984,0.0061337947845458984,0.009557962417602539,0.004770994186401367,,,,,,239,full condensed,281625,1,0,750,375.0,216.79483388678798,0.6844207723035952,,4,,,,3,False
109,751,sqrt,14,28,0.0061190128326416016,0.0061190128326416016,0.009518146514892578,0.004752159118652344,,,,,,239,full condensed,281625,1,0,750,375.0,216.79483388678798,0.6844207723035952,,4,,,,4,False
110,751,sqrt,14,28,0.10932493209838867,0.10932493209838867,0.0059490203857421875,0.004884958267211914,,0.33907389640808105,0.055010080337524414,0.004886150360107422,,239,sparse complete,127774,0,116,253,170.13848202396804,50.116556527510049,0.6844207723035952,,4,0.6844207723035952,,4,0,False
111,751,sqrt,14,28,0.10266804695129395,0.10266804695129395,0.005964040756225586,0.004785060882568359,,0.34728097915649414,0.06031608581542969,0.004848957061767578,,239,sparse complete,127774,0,116,253,170.13848202396804,50.116556527510049,0.6844207723035952,,4,0.6844207723035952,,4,1,False
112,751,sqrt,14,28,0.10271096229553223,0.10271096229553223,0.006245136260986328,0.004842042922973633,,0.3405320644378662,0.05576205253601074,0.004899024963378906,,239,sparse complete,127774,0,116,253,170.13848202396804,50.116556527510049,0.6844207723035952,,4,0.6844207723035952,,4,2,False
113,751,sqrt,14,28,0.10267090797424316,0.10267090797424316,0.005959033966064453,0.004807949066162109,,0.3391568660736084,0.05537891387939453,0.004862070083618164,,239,sparse complete,127774,0,116,253,170.13848202396804,50.116556527510049,0.6844207723035952,,4,0.6844207723035952,,4,3,False
114,751,sqrt,14,28,0.10885000228881836,0.10885000228881836,0.005967855453491211,0.004842996597290039,,0.3402371406555176,0.05544400215148926,0.004853010177612305,,239,sparse complete,127774,0,116,253,170.13848202396804,50.116556527510049,0.6844207723035952,,4,0.6844207723035952,,4,4,False
115,751,sqrt,14,28,0.06908893585205078,0.06908893585205078,0.0031800270080566406,0.00484013557434082,,0.2598838806152344,0.0536808967590332,0.0048868656158447266,,239,sparse condensed const,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,0,False
116,751,sqrt,14,28,0.06933188438415527,0.06933188438415527,0.003271818161010742,0.004884004592895508,,0.2607901096343994,0.05352306365966797,0.004903078079223633,,239,sparse condensed const,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,1,False
117,751,sqrt,14,28,0.06917810440063477,0.06917810440063477,0.003162860870361328,0.00480198860168457,,0.2593369483947754,0.05323481559753418,0.004866123199462891,,239,sparse condensed const,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,2,False
118,751,sqrt,14,28,0.0692138671875,0.0692138671875,0.003172159194946289,0.004827976226806641,,0.2594571113586426,0.053141117095947266,0.00482487678527832,,239,sparse condensed const,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,3,False
119,751,sqrt,14,28,0.06912112236022949,0.06912112236022949,0.0031728744506835938,0.004817008972167969,,0.2601649761199951,0.05303692817687988,0.004867076873779297,,239,sparse condensed const,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,4,False
120,751,sqrt,14,28,0.06905102729797363,0.06905102729797363,0.003164052963256836,0.004832029342651367,,0.2616848945617676,0.053106069564819336,0.005001068115234375,,239,sparse condensed linear,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,0,False
121,751,sqrt,14,28,0.06884384155273438,0.06884384155273438,0.003175973892211914,0.004787921905517578,,0.2605280876159668,0.05320596694946289,0.004921913146972656,,239,sparse condensed linear,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,1,False
122,751,sqrt,14,28,0.06902599334716797,0.06902599334716797,0.0031588077545166016,0.004884958267211914,,0.26029396057128906,0.053275108337402344,0.004921913146972656,,239,sparse condensed linear,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,2,False
123,751,sqrt,14,28,0.06906390190124512,0.06906390190124512,0.0031931400299072266,0.004815816879272461,,0.26085996627807617,0.053503990173339844,0.004888057708740234,,239,sparse condensed linear,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,3,False
124,751,sqrt,14,28,0.06887602806091309,0.06887602806091309,0.0032320022583007812,0.0049211978912353516,,0.2600219249725342,0.05354595184326172,0.004845857620239258,,239,sparse condensed linear,63887,0,0,239,85.069241011984019,57.423073064720604,0.6844207723035952,,4,0.6844207723035952,,4,4,False
125,751,2sqrt,28,56,0.0057599544525146484,0.0057599544525146484,0.00987100601196289,0.004951000213623047,,,,,,117,full,564001,0,751,751,751.0,0.0,0.8388814913448736,,5,,,,0,False
126,751,2sqrt,28,56,0.006220102310180664,0.006220102310180664,0.009968042373657227,0.005015850067138672,,,,,,117,full,564001,0,751,751,751.0,0.0,0.8388814913448736,,5,,,,1,False
127,751,2sqrt,28,56,0.006230831146240234,0.006230831146240234,0.009964942932128906,0.0050280094146728516,,,,,,117,full,564001,0,751,751,751.0,0.0,0.8388814913448736,,5,,,,2,False
